has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,u,v,key
1.0,1.0,1.0,1.0,0.5867071336026098,-1.1396880041450874,0.07908714718053204,0.5412823572248777,1.0,alley,6551939560,747050329,0
0.0,1.0,1.0,1.0,0.5767865121569198,-0.7324408166367087,-0.0006202913504355454,0.6730743476718613,1.0,alley,6551939560,747050329,0
1.0,1.0,1.0,1.0,0.5857282081549752,-0.9585290818289843,0.07908714718053204,0.6469749038885814,1.0,alley,6551939560,747050329,0
1.0,1.0,1.0,1.0,0.594167329171828,-1.4014809036002964,0.07908714718053204,0.5346799884734494,1.0,alley,6551939560,747050329,0
1.0,1.0,1.0,1.0,0.5867071336026098,-1.1396880041450874,0.07908714718053204,0.5412823572248777,1.0,alley,747050329,6551939560,0
0.0,1.0,1.0,1.0,0.5767865121569198,-0.7324408166367087,-0.0006202913504355454,0.6730743476718613,1.0,alley,747050329,6551939560,0
1.0,1.0,1.0,1.0,0.5857282081549752,-0.9585290818289843,0.07908714718053204,0.6469749038885814,1.0,alley,747050329,6551939560,0
1.0,1.0,1.0,1.0,0.594167329171828,-1.4014809036002964,0.07908714718053204,0.5346799884734494,1.0,alley,747050329,6551939560,0
1.0,1.0,1.0,1.0,0.6031888080990324,0.7634034749050186,0.06980190422694796,0.3949070028539572,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6194165348641146,0.7841428518068004,0.07908714718053204,0.4026400739871099,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6043906364862793,0.9593573402183391,0.07908714718053204,0.3802923672019412,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.5813657646317191,1.0920965895182102,-0.5860296384499747,0.3973180435483679,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6022792792294908,0.788344739249675,-0.08623465257416409,0.3948598997260604,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6198721163145311,0.8792903888657969,0.046462112147792625,0.4044037535569666,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.619567069590992,0.7392634876728679,0.04515493211309177,0.4032359087761453,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.5990767134483801,0.0995679310882562,-0.5072223766289914,0.39028455093114844,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6053170695546399,0.9556297410160589,0.07908714718053204,0.3802661105645733,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.599780659723721,0.9813252461005824,0.028838947364965457,0.44644126633345,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.5818303589861058,0.5331465042159105,0.07908714718053204,0.36066004840701366,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.5921518459289987,1.0400661403950533,-0.42432825406768515,0.4004283497600354,1.0,residential_neighborhood,12233693924,5831452914,0
0.0,1.0,0.0,1.0,0.563280213117989,0.5396303125823825,0.07908714718053204,0.6007295634068429,1.0,alley,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6122157610003875,0.9529696131094417,0.040335198991023447,0.3714642627904691,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6072023992317271,0.7554082545982054,0.07908714718053204,0.4083548718155457,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.599466604976034,1.1056425616402938,-0.05835587033408386,0.38914550460931296,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6062580903329259,0.5665764829521,0.038395662044603415,0.41309966295702316,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6053039891341976,0.890943147830577,-0.003611122000558804,0.37557928249872513,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6056558687429483,0.9900194263483904,0.07908714718053204,0.38023227352253114,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,0.0,1.0,0.5875034775925435,-0.37368252444184413,-0.9974973687785851,0.39616097280133555,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6073400587503078,0.6970882065898073,0.019627185721546498,0.39733197639988693,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.603562805223337,0.9305623046017988,-0.0007594575460367957,0.3681727570454937,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6188168763310675,0.754353423011508,0.07908714718053204,0.40495256619664366,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6097147435921682,0.7341525385389827,0.008407674861714625,0.40145782800074464,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6040321314136481,0.9343846962415725,0.07908714718053204,0.37906031870238865,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6008014765646454,0.7170490149984643,0.07908714718053204,0.39123854021932003,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6057898272160221,0.9673516729689075,0.07908714718053204,0.37993850765181575,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6047768655604364,0.6319042228714389,-0.1483990459990922,0.3882573724621129,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6043159668533294,0.9804054951000903,0.07908714718053204,0.37717503034758987,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.605823314030592,0.9516146642103968,0.07908714718053204,0.37691189640450623,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6059908913812748,0.974313222650266,0.07908714718053204,0.37462831122383744,1.0,residential_neighborhood,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6047326227975237,0.7119736501662355,0.0025319802298841357,0.39558251071000367,1.0,residential_neighborhood,12233693924,5831452914,0
